_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
johnsch03,"July 15, 1985","Washington, District of Columbia",0.2,56.2,-,69.9,71,14.3,2.9,1.9,1.5,56.2,Louisiana State University,,,,,6-11,"Laurinburg Institute in Laurinburg, North Carolina",Chris Johnson,Center,Right,210lb
johnsch04,"April 29, 1990","Orlando, Florida",0.6,39.2,30.7,83.5,147,9.7,4.4,2.0,3.5,48.0,University of Dayton,,,,,6-6,"Brookhaven in Columbus, Ohio",Chris Johnson,Small Forward,Left,206lb
johnscl02,"July 18, 1956","Yazoo City, Mississippi",0.6,41.0,33.3,72.4,80,9.1,2.8,1.2,0.7,41.2,University of Missouri,110th overall,5th round,Portland Trail Blazers,1978,6-4,"Manual in Kansas City, Missouri",Clay Johnson,Shooting Guard,Right,175lb
johnscl01,"September 12, 1956","Monticello, Florida",1.0,49.2,0.0,62.1,761,12.7,5.4,4.6,25.5,49.2,Florida Agricultural and Mechanical University,44th overall,2nd round,Portland Trail Blazers,1978,6-10,"Florida A&M University High School in Tallahassee, Florida",Clemon Johnson,Center,Right,240lb
johnsda04,"September 22, 1995","Brooklyn, New York",0.3,56.4,-,55.0,31,16.4,1.8,1.1,0.6,56.4,University of Kentucky,48th overall,2nd round,Oklahoma City Thunder,2015,7-0,"Montverde Academy in Montverde, Florida",Dakari Johnson,Center,Right,255lb
johnsda02,"October 26, 1965","Flint, Michigan",0.1,41.7,0.0,100.0,11,9.7,1.1,0.2,0.0,41.7,Michigan State University,58th overall,3rd round,Golden State Warriors,1987,6-1,"Flint Central in Flint, Michigan",Darryl Johnson,Point Guard,Right,170lb
johnsda01,"November 16, 1970","Morgan City, Louisiana",0.3,36.5,20.0,66.3,59,7.5,3.5,1.1,-0.3,37.2,Syracuse University,26th overall,1st round,Portland Trail Blazers,1992,6-7,"Maine Central Institute in Pittsfield, Maine",Dave Johnson,Shooting Guard,Right,210lb
johnsde02,"October 6, 1975","Charlotte, North Carolina",0.0,33.3,-,-,5,0.5,1.2,1.4,-0.1,33.3,University of North Carolina at Charlotte,38th overall,2nd round,New York Knicks,1998,6-9,"North Mecklenburg in Charlotte, North Carolina",DeMarco Johnson,Power Forward,Right,245lb
johnsde01,"September 18, 1954","San Pedro, California",5.0,44.5,17.2,79.7,1100,14.6,14.1,3.9,82.6,44.8,Pepperdine University,29th overall,2nd round,Seattle SuperSonics,1976,6-4,"Dominguez in Compton, California",Dennis Johnson,Point Guard and Shooting Guard,Right,185lb
johnsde03,"May 5, 1980","Washington, District of Columbia",0.9,41.1,33.6,78.9,344,11.0,6.2,2.2,6.4,48.5,University of Cincinnati,6th overall,1st round,Atlanta Hawks,2000,6-9,"Maine Central Institute in Pittsfield, Maine",DerMarr Johnson,Shooting Guard and Small Forward,Right,201lb
johnsed01,"June 17, 1944","Atlanta, Georgia",1.1,47.4,33.3,55.4,166,14.0,12.3,10.2,8.5,47.4,Tennessee State University,34th overall,3rd round,Seattle SuperSonics,1968,6-8,"David T. Howard in Atlanta, Georgia",Ed Johnson,Center,Right,205lb
johnsed02,"February 24, 1955","Ocala, Florida",5.1,47.6,32.6,79.1,675,16.0,15.1,2.3,41.0,48.2,Auburn University,49th overall,3rd round,Atlanta Hawks,1977,6-2,"Lake Weir in Summerfield, Florida",Eddie Johnson,Shooting Guard,Right,180lb
johnsed03,"May 1, 1959","Chicago, Illinois",2.1,47.2,33.5,84.0,1199,15.9,16.0,4.0,65.6,48.9,University of Illinois at Urbana-Champaign,29th overall,2nd round,Kansas City Kings,1981,6-7,"Westinghouse in Chicago, Illinois",Eddie Johnson,Shooting Guard and Small Forward,Right,215lb
johnser01,"February 7, 1966","Brooklyn, New York",1.3,23.8,16.7,76.5,48,4.6,1.1,0.6,-0.4,24.4,"Baylor University, University of Nebraska",,,,,6-2,"Franklin D. Roosevelt in Brooklyn, New York",Eric Johnson,Point Guard,Right,205lb
johnser02,"December 21, 1967","New Orleans, Louisiana",0.5,50.5,20.0,60.5,845,12.2,4.1,6.1,37.8,50.6,University of New Orleans,23rd overall,1st round,Seattle SuperSonics,1993,6-11,"Block in Jonesville, Louisiana",Ervin Johnson,Center,Right,245lb
johnsfr01,"November 23, 1958","Weirsdale, Florida",4.2,43.9,21.8,76.0,596,12.7,8.3,1.7,17.2,44.5,Wake Forest University,11th overall,1st round,Washington Bullets,1981,6-1,"Lake Weir in Summerfield, Florida",Frank Johnson,Point Guard,Right,185lb
johnsge01,"June 19, 1947","Harleton, Texas",0.6,44.9,-,53.9,136,8.6,3.7,5.0,3.0,44.9,Stephen F. Austin State University,9th overall,1st round,Baltimore Bullets,1970,6-11,,George Johnson,Center,Right,245lb
johnsge02,"December 18, 1948","Tylertown, Mississippi",1.0,45.1,50.0,69.4,904,12.4,4.8,6.5,33.0,45.1,Dillard University,79th overall,5th round,Chicago Bulls,1970,6-11,"Gulledge in Tylertown, Mississippi",George Johnson,Center,Right,205lb
johnsge03,"December 8, 1956","Brooklyn, New York",1.8,46.3,18.9,77.9,464,14.0,9.1,5.6,14.1,46.5,St. John's University,12th overall,1st round,Milwaukee Bucks,1978,6-7,"New Utrecht in Brooklyn, New York",George Johnson,Small Forward and Power Forward,Right,210lb
johnsgu01,"December 13, 1938","Akron, Ohio",2.5,44.0,19.0,70.0,631,16.7,16.2,12.1,36.9,44.0,University of Idaho,10th overall,2nd round,Baltimore Bullets,1963,6-6,"Central in Akron, Ohio",Gus Johnson,Power Forward and Small Forward,Right,230lb
johnsha01,"January 30, 1920",,0.4,20.0,,50.0,27,-,0.6,-,0.4,,Indiana State University,,,,,6-6,,Harold Johnson,Center,Right,240lb
johnsiv01,"April 10, 1984","San Antonio, Texas",0.6,51.7,15.8,66.2,125,15.1,6.5,3.9,4.5,51.9,"University of Oregon, California State University, San Bernardino",,,,,6-8,"Fox Tech in San Antonio, Texas",Ivan Johnson,Power Forward,Right,230lb
johnsja02,"February 8, 1989","Indianapolis, Indiana",0.2,44.6,-,66.7,36,11.4,3.2,1.6,0.2,44.6,Purdue University,27th overall,1st round,New Jersey Nets,2011,6-10,"Franklin Central in Indianapolis, Indiana",JaJuan Johnson,Power Forward,Right,221lb
johnsja01,"February 20, 1987","Cheyenne, Wyoming",2.1,47.7,30.5,69.5,602,14.5,7.9,3.6,23.5,51.4,Wake Forest University,16th overall,1st round,Chicago Bulls,2009,6-8,"Cheyenne East in Cheyenne, Wyoming",James Johnson,Power Forward and Small Forward,Right,240lb
johnsjo02,"June 29, 1981","Little Rock, Arkansas",3.9,44.1,37.1,80.2,1276,15.4,16.0,4.0,82.8,49.7,University of Arkansas,10th overall,1st round,Boston Celtics,2001,6-7,"Little Rock Central in Little Rock, Arkansas",Joe Johnson,Shooting Guard and Small Forward,Right,240lb
johnsjo01,"October 18, 1947","Carthage, Mississippi",3.8,44.6,0.0,77.9,869,14.1,12.9,5.5,37.1,44.6,University of Iowa,7th overall,1st round,Cleveland Cavaliers,1970,6-7,"Messmer in Milwaukee, Wisconsin",John Johnson,Small Forward,Right,200lb
johnska01,"June 24, 1965","Cincinnati, Ohio",0.0,33.3,-,-,4,-4.6,0.5,0.0,-0.1,33.3,Western Kentucky University,41st overall,2nd round,Cleveland Cavaliers,1987,6-9,"Taft in Cincinnati, Ohio",Kannard Johnson,Small Forward,Right,220lb
johnske01,"November 7, 1962","Tuskegee, Alabama",0.3,52.8,-,43.5,64,9.3,4.1,3.8,0.8,52.8,"University of Southern California, Michigan State University",28th overall,2nd round,Chicago Bulls,1985,6-8,"La Jolla in La Jolla, California",Ken Johnson,Power Forward,Right,240lb
johnske03,"February 1, 1978","Detroit, Michigan",0.0,40.5,-,33.3,16,6.1,2.0,2.0,0.0,40.5,Ohio State University,49th overall,2nd round,Miami Heat,2001,6-11,"Henry Ford in Detroit, Michigan",Ken Johnson,Center,Right,240lb
johnske02,"March 4, 1966","Sacramento, California",9.1,49.3,30.5,84.1,735,20.7,17.9,3.3,92.8,50.1,University of California,7th overall,1st round,Cleveland Cavaliers,1987,6-1,"Sacramento in Sacramento, California",Kevin Johnson,Point Guard,Right,180lb
johnsla01,"November 28, 1954","Morganfield, Kentucky",1.8,23.1,,0.0,4,8.0,1.5,1.3,-0.1,,University of Kentucky,24th overall,2nd round,Buffalo Braves,1977,6-3,"Union County in Union County, Kentucky",Larry Johnson,Shooting Guard,Right,205lb
johnsla02,"March 14, 1969","Tyler, Texas",3.3,48.4,33.2,76.6,707,16.3,16.2,7.5,69.7,50.5,"University of Nevada, Las Vegas",1st overall,1st round,Charlotte Hornets,1991,6-6,"Skyline in Dallas, Texas",Larry Johnson,Small Forward and Power Forward,Right,250lb
johnsle01,"June 16, 1957","Plummerville, Arkansas",0.1,28.0,-,60.0,12,0.8,1.4,1.8,-0.2,28.0,"University of Montana, East Texas State University",17th overall,1st round,Houston Rockets,1979,6-11,"Omaha South in Omaha, Nebraska",Lee Johnson,Power Forward,Right,205lb
johnsli01,"June 13, 1980","Chicago, Illinois",0.4,41.6,30.5,69.9,151,10.9,3.9,3.3,2.6,44.4,Tulane University,,,,,6-8,"Providence St. Mel in Chicago, Illinois",Linton Johnson,Small Forward and Power Forward,Right,205lb
johnsma02,"August 14, 1959","Lansing, Michigan",11.2,52.0,30.3,84.8,906,24.1,19.5,7.2,155.8,53.3,Michigan State University,1st overall,1st round,Los Angeles Lakers,1979,6-9,"Everett in Lansing, Michigan",Magic Johnson,Shooting Guard and Power Forward and Point Guard,Right,215lb
johnsma01,"February 8, 1956","Natchitoches, Louisiana",3.6,51.8,15.2,73.9,691,20.1,20.1,7.0,79.8,51.9,"University of California, Los Angeles",3rd overall,1st round,Milwaukee Bucks,1977,6-7,"Crenshaw in Los Angeles, California",Marques Johnson,Small Forward and Shooting Guard,Right,218lb
johnsmi01,"August 31, 1952","Chicago, Illinois",3.0,44.9,16.5,80.0,904,16.9,14.1,7.2,58.6,45.0,Aurora University,56th overall,4th round,Portland Trail Blazers,1974,6-10,"Lindblom in Chicago, Illinois",Mickey Johnson,Power Forward,Right,190lb
johnsne02,"April 17, 1943","Jackson, Michigan",1.7,47.9,16.7,67.3,380,14.0,6.9,5.3,12.6,47.9,Creighton University,15th overall,2nd round,Baltimore Bullets,1966,6-7,"George Washington in New York, New York",Neil Johnson,Power Forward,Right,220lb
johnsni01,"December 22, 1992","Tempe, Arizona",0.4,34.7,23.8,68.0,28,4.8,2.6,1.4,-0.1,38.0,University of Arizona,42nd overall,2nd round,Houston Rockets,2014,6-3,"Findlay Prep in Henderson, Nevada",Nick Johnson,Shooting Guard,Right,202lb
johnsol01,"May 11, 1949","Philadelphia, Pennsylvania",1.8,49.6,15.0,82.7,690,12.8,7.7,3.3,27.0,49.6,Temple University,30th overall,2nd round,Portland Trail Blazers,1972,6-6,"South Philadelphia in Philadelphia, Pennsylvania",Ollie Johnson,Small Forward,Right,200lb
johnsom01,"November 26, 1989","Kingston, Jamaica",1.8,42.9,33.3,-,4,10.5,5.5,2.8,0.1,52.4,Oregon State University,,,,,6-9,"Dorsey in Los Angeles, California",Omari Johnson,Power Forward,Right,220lb
johnsor01,"March 11, 1989","Monterey, California",0.7,35.8,31.1,72.7,103,8.5,3.2,1.7,1.4,43.0,"Loyola Marymount University, University of California, Santa Barbara",36th overall,2nd round,Sacramento Kings,2012,6-5,"Palma in Salinas, California",Orlando Johnson,Shooting Guard,Right,220lb
johnsra01,"December 6, 1921",,2.8,32.7,,74.0,204,8.8,8.4,3.6,5.3,,Huntington University,,,,,5-11,"Union Center in Huntington County, Indiana",Ralph Johnson,Point Guard,Right,170lb
johnsre01,"June 25, 1957","Atlanta, Georgia",0.9,50.5,14.3,71.6,305,12.5,8.4,4.1,11.0,50.5,University of Tennessee,15th overall,1st round,San Antonio Spurs,1980,6-9,"Cedar Grove in Ellenwood, Georgia",Reggie Johnson,Power Forward and Small Forward,Right,205lb
johnsri01,"December 18, 1946",,0.4,46.1,-,63.3,135,11.2,5.0,3.1,2.2,46.1,Grambling State University,46th overall,4th round,Boston Celtics,1968,6-7,,Rich Johnson,Center and Power Forward,Right,210lb
johnsro01,"July 20, 1938",,0.1,30.2,,64.7,14,7.5,2.6,2.1,-0.1,,University of Minnesota,12th overall,2nd round,Detroit Pistons,1960,6-8,"New Prague in New Prague, Minnesota",Ron Johnson,Forward,Right,215lb
johnsst04,"May 29, 1996","Los Angeles, California",1.5,37.4,29.3,76.4,285,8.6,7.0,3.4,3.3,43.4,University of Arizona,8th overall,1st round,Detroit Pistons,2015,6-7,"Mater Dei in Santa Ana, California",Stanley Johnson,Small Forward,Right,245lb
johnsst02,"November 4, 1962","Longview, Texas",0.2,42.2,0.0,52.6,29,4.7,2.6,1.5,-0.2,42.2,"Louisiana State University, San Diego State University",100th overall,5th round,Los Angeles Clippers,1986,6-8,"Longview in Longview, Texas",Steffond Johnson,Power Forward,Right,240lb
johnsst03,"November 3, 1957","Akron, Ohio",1.2,57.2,0.0,63.4,626,15.3,11.7,5.5,26.9,57.2,Oregon State University,7th overall,1st round,Kansas City Kings,1981,6-10,"San Gorgonio in San Bernardino, California",Steve Johnson,Center,Right,235lb
johnsst01,"August 19, 1944","Clairton, Pennsylvania",1.5,42.3,30.8,78.8,647,15.0,16.3,6.6,11.8,43.5,Murray State University,21st overall,3rd round,New York Knicks,1966,6-8,"Clairton in Clairton, Pennsylvania",Stew Johnson,Power Forward,Right,220lb
johnstr01,"August 30, 1984","Jackson, Mississippi",0.7,38.5,33.3,94.7,23,8.1,2.6,0.9,0.0,39.4,"Alcorn State University, Jackson State University",,,,,6-5,"Murrah in Jackson, Mississippi",Trey Johnson,Shooting Guard,Right,218lb
johnsty01,"May 7, 1992","Grand Forks, North Dakota",2.5,43.3,36.4,77.1,270,13.8,11.0,3.3,15.0,50.4,"California State University, Fresno",,,,,6-4,"Saint Francis in Mountain View, California",Tyler Johnson,Shooting Guard and Point Guard,Left,190lb
johnsvi01,"September 1, 1956","Brooklyn, New York",3.3,46.4,25.4,74.0,984,15.2,12.0,3.2,50.8,46.8,Baylor University,7th overall,1st round,Seattle SuperSonics,1979,6-2,"Franklin D. Roosevelt in Brooklyn, New York",Vinnie Johnson,Shooting Guard and Point Guard,Right,200lb
johnswe01,"July 11, 1987","Corsicana, Texas",1.1,40.4,33.7,74.1,609,10.0,7.0,3.2,10.7,48.1,"Iowa State University, Syracuse University",4th overall,1st round,Minnesota Timberwolves,2010,6-7,"Corsicana in Corsicana, Texas",Wesley Johnson,Shooting Guard and Small Forward,Right,215lb
johnsda03,"September 28, 1989","Raleigh, North Carolina",0.3,0.0,0.0,0.0,7,-18.4,0.0,0.9,-0.3,0.0,Marquette University,55th overall,2nd round,Dallas Mavericks,2012,6-2,"Wakefield in Raleigh, North Carolina",Darius Johnson-Odom,Shooting Guard,Left,215lb
johnsna01,"December 18, 1966","Birmingham, Alabama",0.0,37.5,25.0,69.2,21,14.1,2.2,1.1,0.1,38.5,University of Tampa,59th overall,3rd round,Miami Heat,1988,6-8,"Belle Glade in Belle Glade, Florida",Nate Johnston,Small Forward and Power Forward,Right,210lb
johnsne01,"February 4, 1929","Chillicothe, Ohio",2.5,44.4,,76.8,516,24.7,19.4,11.3,92.0,,Ohio State University,,,,,6-8,"Chillicothe in Chillicothe, Ohio",Neil Johnston,Center,Right,210lb
johnsji01,"September 20, 1960","New Canaan, Connecticut",0.5,36.7,-,45.0,23,4.5,1.3,2.0,-0.1,36.7,Wake Forest University,51st overall,3rd round,Kansas City Kings,1982,6-11,"Lewiston-Porter Central in Youngstown, New York",Jim Johnstone,Power Forward and Center,Right,245lb
jokicni01,"February 19, 1995","Sombor, Serbia",5.1,52.3,34.5,82.8,308,24.8,16.3,9.6,38.9,56.0,,41st overall,2nd round,Denver Nuggets,2014,7-0,,Nikola Jokic,Center,Right,250lb
jolifho01,"July 20, 1938",,0.8,36.7,,52.7,138,7.9,2.8,4.2,0.8,,Ohio University,,,,,6-7,"South in Canton South, Ohio",Howie Jolliff,Power Forward,Right,218lb
jonesal01,"September 9, 1978","Luxembourg, Luxembourg",0.1,40.0,-,50.0,23,6.2,1.1,1.6,0.1,40.0,Georgia Institute of Technology,57th overall,2nd round,Philadelphia 76ers,2001,6-11,"Kathleen in Lakeland, Florida",Alvin Jones,Center,Right,265lb
jonesan01,"September 13, 1962","Washington, District of Columbia",0.7,39.3,30.6,74.0,164,9.8,3.6,1.3,0.8,40.6,"Georgetown University, University of Nevada, Las Vegas",21st overall,1st round,Washington Bullets,1986,6-6,"Dunbar in Washington, District of Columbia",Anthony Jones,Shooting Guard and Small Forward,Right,195lb
jonesas01,"December 3, 1971","Philadelphia, Pennsylvania",1.5,34.1,16.7,81.3,11,8.3,4.1,1.0,-0.1,36.4,Kansas State University,,,,,6-5,"Marshall in San Antonio, Texas",Askia Jones,Shooting Guard,Right,200lb
jonesbi01,"March 18, 1966","Detroit, Michigan",0.5,49.0,0.0,67.4,37,13.9,3.5,1.3,0.6,49.0,University of Iowa,,,,,6-7,"Northwestern in Detroit, Michigan",Bill Jones,Power Forward,Right,175lb
jonesbo01,"December 18, 1951","Charlotte, North Carolina",2.7,56.0,0.0,76.6,941,18.2,12.1,6.1,94.1,56.0,University of North Carolina,5th overall,1st round,Houston Rockets,1974,6-9,"South Mecklenburg in Charlotte, North Carolina",Bobby Jones,Power Forward,Right,210lb
jonesbo02,"January 9, 1984","Compton, California",0.5,44.2,30.6,68.5,91,9.7,3.2,1.6,1.1,48.3,University of Washington,37th overall,2nd round,Minnesota Timberwolves,2006,6-7,"Long Beach Polytechnic in Long Beach, California",Bobby Jones,Small Forward,Right,215lb
jonesca01,"August 4, 1950","McGehee, Arkansas",1.4,47.4,12.3,75.6,1299,12.1,7.9,8.2,66.2,47.5,Albany State University,32nd overall,2nd round,Philadelphia 76ers,1973,6-11,"Desha Central in Rohwer, Arkansas",Caldwell Jones,Power Forward and Center,Right,217lb
jonesch01,"April 3, 1957","McGehee, Arkansas",0.9,48.0,0.0,61.8,726,9.2,2.5,4.5,24.6,48.0,Albany State University,165th overall,8th round,Phoenix Suns,1979,6-9,"Desha Central in Rohwer, Arkansas",Charles Jones,Power Forward and Center,Right,215lb
jonesch02,"January 12, 1962","Scooba, Mississippi",1.0,49.3,11.1,61.1,201,12.2,5.0,3.8,4.5,49.4,University of Louisville,36th overall,2nd round,Phoenix Suns,1984,6-8,"East Kemper in Scooba, Mississippi",Charles Jones,Center and Power Forward,Right,215lb
jonesch03,"July 17, 1975","Brooklyn, New York",1.6,32.4,32.4,62.2,85,9.4,3.5,1.2,0.0,41.4,"Rutgers University, Long Island University",,,,,6-3,"Bishop Ford in Brooklyn, New York",Charles Jones,Shooting Guard and Point Guard,Right,180lb
jonesco01,"July 3, 1949","Washington, District of Columbia",1.1,45.4,21.4,70.2,298,13.6,8.1,4.7,10.7,45.5,University of Notre Dame,17th overall,1st round,Milwaukee Bucks,1971,6-7,"St. John's College in Washington, District of Columbia",Collis Jones,Small Forward and Power Forward,Right,203lb
jonesda02,"December 27, 1980","Trenton, New Jersey",0.8,43.9,32.9,75.1,624,9.5,5.4,1.7,9.9,45.9,"Rutgers University, Duke University",20th overall,1st round,Boston Celtics,2003,6-6,"Steinert in Hamilton, New Jersey",Dahntay Jones,Small Forward and Shooting Guard,Right,225lb
jonesda03,"June 30, 1995","Baton Rouge, Louisiana",0.6,64.3,-,57.7,49,12.6,3.6,2.3,1.6,64.3,Vanderbilt University,30th overall,1st round,Golden State Warriors,2016,7-0,"Scotlandville Magnet in Baton Rouge, Louisiana",Damian Jones,Center,Right,245lb
jonesda01,"August 25, 1976","Galveston, Texas",2.7,40.7,39.0,72.7,657,12.4,6.6,1.6,28.0,53.3,University of Houston,,,,,6-3,"Ball in Galveston, Texas",Damon Jones,Shooting Guard and Point Guard,Right,185lb
jonesde01,"June 20, 1990","Stone Mountain, Georgia",0.3,43.6,25.7,66.7,63,8.4,3.7,1.7,0.1,45.6,University of Miami,,,,,6-8,"Wheeler in Marietta, Georgia",DeQuan Jones,Small Forward,Right,221lb
jonesde02,"February 15, 1997","Chester, Pennsylvania",0.5,50.0,28.3,63.6,112,13.0,5.8,3.2,4.4,53.4,"University of Nevada, Las Vegas",,,,,6-7,"Archbishop Carroll in Radnor, Pennsylvania",Derrick Jones Jr.,Small Forward,Left,200lb
jonesdo02,"October 15, 1988","Lake Wales, Florida",1.8,36.6,9.5,72.9,80,11.9,3.1,1.4,0.3,37.0,University of South Florida,25th overall,1st round,Memphis Grizzlies,2010,6-4,"Lake Wales in Lake Wales, Florida",Dominique Jones,Point Guard and Shooting Guard,Right,215lb
jonesdo01,"June 2, 1975","Nashville, Tennessee",0.3,33.3,26.1,-,15,3.8,2.9,0.6,-0.3,38.6,"Northeast Mississippi Community College, Mississippi State University",21st overall,1st round,New York Knicks,1996,6-8,"Stratford in Nashville, Tennessee",Dontae' Jones,Small Forward,Right,220lb
jonesdw02,"June 9, 1983","Morgantown, West Virginia",0.1,50.8,0.0,49.4,82,10.1,1.3,2.3,1.4,50.8,Saint Joseph's University,,,,,6-11,"American Christian School in Aston, Pennsylvania",Dwayne Jones,Power Forward,Right,250lb
jonesdw01,"February 27, 1952","Houston, Texas",1.2,47.1,50.0,74.0,766,13.2,8.1,5.9,27.6,47.2,University of Houston,9th overall,1st round,Atlanta Hawks,1973,6-10,"Wheatley in Houston, Texas",Dwight Jones,Power Forward and Center,Right,210lb
jonesea01,"January 13, 1961","Oak Hill, West Virginia",0.3,38.5,-,75.0,14,0.2,0.9,0.7,-0.1,38.5,University of the District of Columbia,23rd overall,1st round,Los Angeles Lakers,1984,7-0,"Spingarn in Washington, District of Columbia",Earl Jones,Center,Right,210lb
jonesed02,"October 20, 1971","Pompano Beach, Florida",2.9,43.7,37.3,80.9,954,16.7,14.8,4.0,100.6,50.5,Temple University,10th overall,1st round,Los Angeles Lakers,1994,6-6,"Ely in Pompano Beach, Florida",Eddie Jones,Small Forward and Shooting Guard,Right,190lb
jonesed01,"June 17, 1956","Fort Rucker, Alabama",0.9,50.6,26.2,71.0,363,15.1,9.0,4.8,15.0,51.0,"University of Nevada, Reno",31st overall,2nd round,Milwaukee Bucks,1979,6-10,"Barringer in Newark, New Jersey",Edgar Jones,Power Forward,Right,225lb
jonesfr01,"March 11, 1979","Malvern, Arkansas",2.3,41.1,35.3,80.9,430,11.3,7.5,2.2,16.5,47.6,University of Oregon,14th overall,1st round,Indiana Pacers,2002,6-4,"Barlow in Gresham, Oregon",Fred Jones,Small Forward and Shooting Guard,Right,210lb
joneshu01,"September 1, 1959","Buffalo, New York",0.3,42.5,-,70.0,13,9.2,3.2,1.3,0.0,42.5,"State University of New York College at Buffalo, Vanderbilt University",,,,,6-8,"Bishop Turner in Buffalo, New York",Hutch Jones,Small Forward,Right,190lb
jonesja01,"May 9, 1949",,0.7,38.9,,64.5,17,8.6,4.5,1.5,0.0,,Assumption College,97th overall,6th round,Philadelphia 76ers,1971,6-3,,Jake Jones,Shooting Guard,Right,180lb
jonesja04,"May 27, 1993","Dallas, Texas",0.3,40.0,37.0,67.4,32,11.0,4.8,2.3,0.4,47.7,Texas A&M University,,,,,6-7,"Kimball in Dallas, Texas",Jalen Jones,Small Forward,Right,220lb
jonesja02,"October 4, 1980","Miami, Florida",0.5,40.1,40.1,84.0,709,11.3,5.2,1.8,25.2,53.0,University of Miami,49th overall,2nd round,Indiana Pacers,2003,6-8,"American in Miami, Florida",James Jones,Shooting Guard and Small Forward,Right,218lb
jonesje01,"April 9, 1995","Nashville, Tennessee",2.2,36.4,20.0,50.0,6,12.1,4.5,8.2,0.2,39.4,"Hill College, New Mexico State University",,,,,6-5,"Melrose HS in Nashville, Tennessee",Jemerrio Jones,Small Forward,Right,174lb
jonesji01,"January 1, 1945","Tallulah, Louisiana",4.5,50.9,25.0,78.5,686,17.1,16.6,4.3,78.8,51.0,Grambling State University,13th overall,2nd round,Baltimore Bullets,1967,6-4,"McCall in Tallulah, Louisiana",Jimmy Jones,Point Guard and Shooting Guard,Right,188lb
jonesjo01,"March 12, 1943","Washington, District of Columbia",0.8,35.8,0.0,59.7,80,10.5,5.2,2.9,-0.6,35.8,"California State University, Los Angeles",,,,,6-7,"DeMatha Catholic in Hyattsville, Maryland",Johnny Jones,Small Forward,Right,205lb
jonesju01,"February 10, 1979","Cocoa, Florida",0.9,42.4,34.9,70.4,471,12.5,7.1,4.2,15.1,49.4,University of Georgia,27th overall,1st round,Atlanta Hawks,1999,6-8,"Mitchell-Baker in Camilla, Georgia",Jumaine Jones,Small Forward and Shooting Guard and Power Forward,Right,218lb
joneskc01,"May 25, 1932","Taylor, Texas",4.3,38.7,,64.7,676,10.4,7.4,3.5,38.6,,University of San Francisco,and Boston Celtics,1955 NBA Draf,Minneapolis Lakers,2nd ,6-1,"Commerce in San Francisco, California",K.C. Jones,Point Guard,Right,200lb
joneske01,"August 25, 1989","Mount Vernon, New York",0.3,40.2,-,60.0,32,11.1,3.0,2.4,0.2,40.2,West Virginia University,,,,,6-8,"Mount Vernon in , New York",Kevin Jones,Power Forward,Right,251lb
jonesla01,"September 22, 1942","Columbus, Ohio",3.7,45.3,27.7,79.3,551,18.9,19.1,4.9,56.4,46.3,University of Toledo,43rd overall,5th round,Los Angeles Lakers,1963,6-2,"East in Columbus, Ohio",Larry Jones,Point Guard and Shooting Guard,Right,180lb
jonesma01,"July 9, 1953","McGhee, Arkansas",0.6,49.0,11.1,58.6,374,11.3,4.4,3.5,5.5,49.0,Albany State University,20th overall,2nd round,Portland Trail Blazers,1976,6-9,"Desha Central in Rohwer, Arkansas",Major Jones,Power Forward,Right,225lb
jonesma02,"April 10, 1961","Rochester, New York",0.8,50.0,0.0,50.0,6,14.7,1.2,0.3,0.0,50.0,St. Bonaventure University,82nd overall,4th round,New York Knicks,1983,6-1,"East in Rochester, New York",Mark Jones,Point Guard,Right,175lb
jonesma03,"May 25, 1975","Milwaukee, Wisconsin",0.6,29.0,0.0,50.0,10,4.4,2.3,1.3,-0.1,29.0,"University of Minnesota, University of Central Florida",,,,,6-6,"Milwaukee Trade and Technical in Milwaukee, Wisconsin",Mark Jones,Small Forward,Right,215lb
jonesni01,"March 28, 1945",,1.3,41.0,0.0,76.2,198,10.2,5.2,1.1,1.9,41.0,University of Oregon,31st overall,3rd round,San Diego Rockets,1967,6-2,"John Marshall in Portland, Oregon",Nick Jones,Point Guard and Shooting Guard,Right,190lb
jonesoz01,"November 20, 1960","Long Beach, California",0.8,58.2,0.0,39.8,70,11.1,3.5,3.4,1.2,58.2,"Wichita State University, California State University, Fullerton",90th overall,4th round,San Antonio Spurs,1984,6-11,"Long Beach Polytechnic in Long Beach, California",Ozell Jones,Center,Right,235lb
jonespe01,"September 24, 1991","Winnsboro, Louisiana",0.4,42.0,29.3,66.0,143,8.5,3.4,1.8,1.7,45.9,Baylor University,28th overall,1st round,Oklahoma City Thunder,2012,6-11,"Duncanville in Duncanville, Texas",Perry Jones,Small Forward and Power Forward,Right,235lb
jonespo01,"June 17, 1970","Dresden, Tennessee",1.3,44.7,28.1,75.1,535,13.3,7.0,7.4,22.0,45.0,Murray State University,41st overall,2nd round,Houston Rockets,1992,6-8,"Dresden in Dresden, Tennessee",Popeye Jones,Power Forward,Right,250lb
jonesri01,"December 27, 1946","Memphis, Tennessee",2.7,42.0,30.3,76.9,508,14.1,15.6,7.4,24.7,42.9,University of Memphis,49th overall,4th round,Phoenix Suns,1968,6-6,"Lester in Memphis, Tennessee",Rich Jones,Power Forward and Small Forward,Right,220lb
